TICKER,date,PRC,VOL,RET,vwretd,ewretd
HPE,20200430,10.06,1962856.0,0.036045,0.129677,0.153872
HPE,20200529,9.71,2277186.0,-0.034791,0.053739,0.06407
HPE,20200630,9.73,3195663.0,0.014418,0.025299,0.057391
HPE,20200731,9.87,2191484.0,0.014389,0.055529,0.040736
HPE,20200831,9.67,2127803.0,-0.020263,0.068443,0.038884
HPE,20200930,9.37,2394997.0,-0.018614,-0.035057,-0.027356
HPE,20201030,8.64,2183175.0,-0.077908,-0.020178,0.000584
HPE,20201130,11.04,2421254.0,0.277778,0.123707,0.174412
HPE,20201231,11.85,2224390.0,0.084239,0.045048,0.072853
EIX,20100129,33.32,403555.0,-0.041978,-0.037186,-0.011388
EIX,20100226,32.63,357870.0,-0.020708,0.034754,0.033603
EIX,20100331,34.17,494644.0,0.056849,0.063688,0.069289
EIX,20100430,34.37,382283.0,0.005853,0.020039,0.057843
EIX,20100528,32.36,530146.0,-0.058481,-0.079267,-0.076929
